Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
87,3186727331,TJones4582,0,93.05,P Alek Manoah P Alex Wood 2B Brandon Lowe SS Wander Franco 3B Yandy Díaz OF Adam Duvall 1B Ji-Man Choi OF Josh Lowe C Joey Bart OF Julio Rodríguez,,Mark Canha,OF,2.34%,5
88,3186837464,murphyry,0,92.85,P Alex Wood P Michael Lorenzen OF Shohei Ohtani OF Byron Buxton 1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Manny Piña SS Orlando Arcia OF Julio Rodríguez,,Tyler Wade,SS,2.34%,3
89,3186542158,jarjets89,0,92.75,P Alek Manoah P Jameson Taillon SS Jazz Chisholm Jr. 1B Jesús Aguilar OF Jesús Sánchez OF Jorge Soler 2B Abraham Toro C Max Stassi 3B Brian Anderson OF Joc Pederson,,Brandon Crawford,SS,2.34%,6
90,3186513465,upsdale,0,92.6,P Alex Wood P Nick Martinez SS Wander Franco OF Kyle Schwarber OF Giancarlo Stanton 2B Jean Segura 3B Anthony Rendon 1B Ji-Man Choi C Francisco Mejía OF Brandon Marsh,,Starling Marte,OF,2.13%,5
91,3186287510,bradton2345,0,92.55,P Alek Manoah P Nick Martinez 1B Shohei Ohtani 2B Brandon Lowe 3B Austin Riley C J.T. Realmuto OF Adam Duvall OF Marcell Ozuna OF Josh Lowe SS Taylor Walls,,J.P. Crawford,SS,2.13%,3
92,3186869434,rodchatman,0,92.35,P Michael Lorenzen P Nick Martinez OF Byron Buxton SS Carlos Correa OF Jesse Winker 2B Jorge Polanco OF Mitch Haniger 1B Ty France 3B Eugenio Suárez C Gary Sánchez,,Garrett Cooper,OF,2.13%,0
93,3186419232,IceHoya,0,91.9,P Alex Wood P Huascar Ynoa SS Bo Bichette OF George Springer 1B Jesús Aguilar OF Jesús Sánchez OF Jorge Soler 3B Joey Wendle C Jacob Stallings 2B Santiago Espinal,,Brandon Marsh,OF,2.13%,29
94,3186897178,BNair724,0,91.85,P Alex Wood P Michael Lorenzen OF Byron Buxton 1B Matt Olson 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Gary Sánchez SS Luis Guillorme,,Joey Gallo,OF,2.13%,8
95,3186435182,theswartz88,0,91.6,P Alex Wood P Dylan Bundy OF Byron Buxton 2B Brandon Lowe SS Wander Franco 3B Austin Riley 1B Ji-Man Choi OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,Keibert Ruiz,C,2.13%,5
95,3186878963,bellefan08,0,91.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani SS Wander Franco OF Teoscar Hernández OF Mitch Haniger 1B Ji-Man Choi 3B Matt Chapman 2B Luis Arraez C Gary Sánchez,,Eduardo Escobar,1B,2.13%,9
97,3186359952,radthad,0,91.55,P Alek Manoah P Dylan Bundy 1B Brandon Belt SS Bo Bichette 3B Manny Machado 2B Jake Cronenworth OF Jorge Soler OF Marcell Ozuna OF Joc Pederson C Alejandro Kirk,,Brian Anderson,3B,1.91%,0
98,3186567185,szeis03,0,91.45,P Ranger Suárez P Dylan Bundy OF Bryce Harper OF Byron Buxton 2B Brandon Lowe SS Wander Franco 1B Ji-Man Choi OF Seth Brown C Gary Sánchez 3B Taylor Walls,,Jose Rojas,OF,1.70%,0
99,3186741772,broncofisch,0,91.4,P Alek Manoah P Luis Patiño 1B Vladimir Guerrero Jr. SS Bo Bichette OF George Springer 2B Ozzie Albies 3B Gio Urshela C Austin Nola OF Jurickson Profar OF Julio Rodríguez,,Alex Kirilloff,OF,1.70%,3
100,3186577165,hack7,0,91.2,P Luis Patiño P Michael Lorenzen OF Byron Buxton 1B Matt Olson SS Carlos Correa 2B Jorge Polanco OF Adam Duvall OF Marcell Ozuna 3B Gio Urshela C Gary Sánchez,,Josh Bell,1B,1.70%,18
101,3186379183,Firedog50,0,91.15,P Michael Lorenzen P Paul Blackburn OF Bryce Harper OF Shohei Ohtani 1B Matt Olson 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Marcell Ozuna C Gary Sánchez,,Jacob Stallings,C,1.70%,0
102,3186728941,whodeywinning,0,91.1,P Nick Martinez P Dylan Bundy 1B Vladimir Guerrero Jr. OF Shohei Ohtani OF Byron Buxton 2B Brandon Lowe SS Wander Franco OF Kyle Schwarber 3B Taylor Walls C Cal Raleigh,,David Fletcher,2B,1.70%,0
103,3186822138,jackson_0824,0,90.85,P Alex Wood P Michael Lorenzen OF Bryce Harper OF Kyle Schwarber 2B Jorge Polanco OF Max Kepler SS Didi Gregorius 3B Luis Arraez 1B Alex Kirilloff C Francisco Mejía,,Gleyber Torres,SS,1.70%,3
104,3186644640,spamamoto,0,90.65,P Huascar Ynoa P Michael Lorenzen OF Byron Buxton 1B Matt Olson 2B Ozzie Albies SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna 3B Luis Arraez C Gary Sánchez,,Luke Voit,1B,1.49%,7
105,3186888533,Chavalue3,0,90.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani OF Byron Buxton 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Gary Sánchez SS Thairo Estrada,,DJ LeMahieu,3B,1.49%,0
106,3186228692,96mnc,0,90.55,P Alek Manoah P Nick Martinez OF Byron Buxton SS Carlos Correa 2B Ozzie Albies 3B Austin Riley 1B Miguel Sanó OF Marcell Ozuna C Gary Sánchez OF Josh Lowe,,Jake Cronenworth,2B,1.28%,8
106,3186553490,JSB11970,0,90.55,P Alek Manoah P Nick Martinez 1B Shohei Ohtani 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall C Francisco Mejía OF Josh Lowe OF Julio Rodríguez,,Brandon Nimmo,OF,1.28%,8
106,3186794065,htrader,0,90.55,P Alek Manoah P Nick Martinez 1B Shohei Ohtani 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall C Francisco Mejía OF Josh Lowe OF Julio Rodríguez,,Luis Guillorme,SS,1.28%,0
109,3186852054,Nik3144,0,90.4,P Huascar Ynoa P Nick Martinez 2B Brandon Lowe 1B Matt Olson SS Wander Franco OF George Springer 3B Austin Riley OF Marcell Ozuna C Austin Nola OF Josh Lowe,,Nelson Cruz,OF,1.28%,9
110,3186753485,Jkourp,0,90.1,P Nick Martinez P Dylan Bundy OF Bryce Harper OF Nick Castellanos 2B Brandon Lowe SS Wander Franco C J.T. Realmuto 3B Yandy Díaz 1B Ji-Man Choi OF Josh Lowe,,Jesús Aguilar,1B,1.28%,0
111,3186877488,uhhuhbro,0,89.85,P Alex Wood P Michael Lorenzen OF Kyle Schwarber 1B Rhys Hoskins C J.T. Realmuto OF Joey Gallo SS Dansby Swanson 2B Abraham Toro 3B Alec Bohm OF Matt Vierling,,Taijuan Walker,P,1.28%,12.5
112,3186250593,dpeezy82,0,89.6,P Alex Wood P Nick Martinez OF Shohei Ohtani OF Juan Soto 2B Brandon Lowe SS Wander Franco 3B Matt Chapman 1B Josh Bell OF Billy McKinney C Zack Collins,,Paul Blackburn,P,1.28%,26.85
113,3186524424,bkreider,0,89.55,P Alek Manoah P Dylan Bundy 1B Shohei Ohtani OF Juan Soto 2B Ozzie Albies 3B Austin Riley OF Nelson Cruz OF Marcell Ozuna C Manny Piña SS Orlando Arcia,,Elvis Andrus,SS,1.28%,28
114,3186895028,Ballerkb24,0,89.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Giancarlo Stanton 1B Jared Walsh 2B Jean Segura 3B Anthony Rendon OF Adam Duvall C Max Stassi SS Didi Gregorius,,Kyle Higashioka,C,1.28%,0
115,3186742249,strikelightning83,0,89.2,P Alek Manoah P Elieser Hernandez 1B Brandon Belt SS Brandon Crawford 2B Jorge Polanco OF Mike Yastrzemski OF Max Kepler OF Joc Pederson 3B Gio Urshela C Gary Sánchez,,James McCann,C,1.28%,9
116,3186230251,youdacao,0,89.1,P Nick Martinez P Dylan Bundy OF Shohei Ohtani OF Byron Buxton 1B Matt Olson SS Carlos Correa 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna C Manny Piña,,Ha-Seong Kim,SS,1.06%,5
117,3186446521,ShaidyAdvice,0,89.05,P Alek Manoah P Alex Wood OF Byron Buxton SS Carlos Correa 2B Jorge Polanco OF Jorge Soler 3B Gio Urshela 1B Darin Ruf OF Mauricio Dubón C Cal Raleigh,,Matt Vierling,OF,1.06%,0
117,3186705037,Franks816,0,89.05,P Alek Manoah P Alex Wood 2B Brandon Lowe SS Wander Franco OF Mitch Haniger 1B Josh Bell OF Marcell Ozuna C Manny Piña OF Brett Phillips 3B Taylor Walls,,Eddie Rosario,OF,1.06%,2
119,3186295151,Wizeguy1015,0,88.85,P Alex Wood P Michael Lorenzen OF Shohei Ohtani OF Byron Buxton 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh C Manny Piña SS Orlando Arcia OF Julio Rodríguez,,Sean Murphy,C,1.06%,14
120,3186645095,DS-Fan,0,88.6,P Alex Wood P Dylan Bundy OF Byron Buxton 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall 1B Ji-Man Choi C Gary Sánchez OF Josh Lowe,,Jurickson Profar,OF,1.06%,5
121,3186629012,jballen10,0,88.1,P Nick Martinez P Dylan Bundy 1B Shohei Ohtani OF Juan Soto 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Gary Sánchez,,Chad Pinder,3B,0.85%,21
122,3186804817,Tokyobill,0,87.6,P Alex Wood P Dylan Bundy 1B Brandon Belt 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna OF Joc Pederson,,Seth Brown,1B,0.64%,20
123,3186882598,bocul14,0,87.55,P Alek Manoah P Dylan Bundy OF Bryce Harper SS Wander Franco OF Kyle Schwarber 3B Yandy Díaz 1B Ji-Man Choi C Francisco Mejía OF Josh Lowe 2B Thairo Estrada,,Marwin Gonzalez,2B,0.64%,2
124,3186385925,rydagreat,0,87.35,P Michael Lorenzen P Dylan Bundy OF Bryce Harper SS Wander Franco OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh OF Marcell Ozuna C Gary Sánchez,,Mauricio Dubón,SS,0.64%,2
124,3186741120,blackstack524,0,87.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Juan Soto 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh SS Dansby Swanson OF Marcell Ozuna C Keibert Ruiz,,Mike Trout,OF,0.64%,0
126,3186732429,getloose,0,87.1,P Nick Martinez P Dylan Bundy OF Bryce Harper 2B Brandon Lowe SS Wander Franco OF Kyle Schwarber C J.T. Realmuto 3B Yandy Díaz 1B Ji-Man Choi OF Josh Lowe,,Trent Grisham,OF,0.64%,7
126,3186818039,thay3r,0,87.1,P Nick Martinez P Dylan Bundy OF Bryce Harper 2B Brandon Lowe SS Wander Franco OF Kyle Schwarber C J.T. Realmuto 3B Yandy Díaz 1B Ji-Man Choi OF Josh Lowe,,César Hernández,2B,0.64%,10
126,3186880386,peratan,0,87.1,P Nick Martinez P Dylan Bundy OF Bryce Harper OF Shohei Ohtani 1B Matt Olson 2B Ozzie Albies 3B Austin Riley SS Francisco Lindor OF Marcell Ozuna C Austin Nola,,Wil Myers,OF,0.43%,0
129,3186348430,MacPock,0,87.05,P Alek Manoah P Alex Wood 1B Brandon Belt 2B Ozzie Albies 3B Austin Riley OF Mike Yastrzemski OF Marcell Ozuna OF Darin Ruf C Joey Bart SS Mauricio Dubón,,Aaron Hicks,OF,0.43%,5
130,3186226290,tjnookie85,0,86.75,P Elieser Hernandez P Dylan Bundy OF Bryce Harper OF Nick Castellanos 2B Brandon Lowe OF Kyle Schwarber C J.T. Realmuto SS Didi Gregorius 3B Luis Arraez 1B Billy McKinney,,Sheldon Neuse,3B,0.43%,28
131,3186773677,Deathflower74,0,86.55,P Alek Manoah P Nick Martinez OF Shohei Ohtani 2B Brandon Lowe SS Wander Franco 3B Anthony Rendon 1B Ji-Man Choi C Francisco Mejía OF Josh Lowe OF Jose Rojas,,Josh Rogers,P,0.43%,17.6
131,3186864137,morganb4,0,86.55,P Alek Manoah P Nick Martinez 1B Shohei Ohtani OF Juan Soto 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Marcell Ozuna C Manny Piña OF Julio Rodríguez,,Travis d'Arnaud,C,0.21%,0
133,3186852588,tmac515,0,86.35,P Michael Lorenzen P Nick Martinez 1B Vladimir Guerrero Jr. SS Wander Franco OF Kyle Schwarber OF Giancarlo Stanton 2B Jean Segura OF Mark Canha 3B Alec Bohm C Francisco Mejía,,Avisaíl García,OF,0.21%,0
134,3186632069,cheeseisgood,0,86.2,P Alek Manoah P Elieser Hernandez 1B Brandon Belt SS Brandon Crawford OF Teoscar Hernández 3B Matt Chapman OF Mike Yastrzemski OF Joc Pederson C Gary Sánchez 2B Thairo Estrada,,Jo Adell,OF,0.21%,21
135,3186827404,EnricoPalatzo,0,86.05,P Alek Manoah P Alex Wood SS Bo Bichette 2B Jazz Chisholm Jr. OF Starling Marte C J.T. Realmuto 1B Luke Voit 3B J.D. Davis OF Billy McKinney OF Julio Rodríguez,,Lane Thomas,OF,0.21%,16
136,3186879054,Rushia,0,85.85,P Alex Wood P Michael Lorenzen 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall 1B Ji-Man Choi OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,Jack Mayfield,3B,0.21%,0
137,3186295542,dean78904,0,85.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani SS Wander Franco OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna C Gary Sánchez OF Julio Rodríguez,,Bryson Stott,3B,0.21%,0
137,3186313759,shook1992,0,85.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani OF Byron Buxton 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh OF Marcell Ozuna C Gary Sánchez SS Tyler Wade,,Jeff McNeil,2B,0.21%,0
137,3186521294,erog30,0,85.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani OF Byron Buxton 2B Brandon Lowe SS Carlos Correa 3B Luis Arraez C Francisco Mejía OF Kevin Kiermaier OF Josh Lowe,,Luis García,SS,0.21%,0
137,3186677825,Drose0127,0,85.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani SS Wander Franco OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna C Gary Sánchez OF Julio Rodríguez,,Luke Raley,OF,0.21%,0
137,3186843764,MSmith0818,0,85.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani OF Byron Buxton 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Gary Sánchez SS Orlando Arcia,,Kameron Misner,OF,0.21%,0
137,3186853427,DClive8380,0,85.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani OF Byron Buxton 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Gary Sánchez SS Orlando Arcia,,Elliot Soto,3B,0.21%,0
143,3186541773,clink221,0,85.55,P Alek Manoah P Nick Martinez OF Juan Soto OF Starling Marte 1B Pete Alonso SS Francisco Lindor OF Nelson Cruz C Keibert Ruiz 2B Jeff McNeil 3B J.D. Davis,,Buddy Reed,OF,0.21%,0
144,3186879996,bjjball44,0,85.1,P Nick Martinez P Dylan Bundy OF Shohei Ohtani OF Byron Buxton SS Carlos Correa 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh OF Adam Duvall C Gary Sánchez,,Manuel Margot,OF,0.21%,0
145,3186544835,giantsquid,0,84.95,P Jameson Taillon P Elieser Hernandez OF Byron Buxton SS Jazz Chisholm Jr. 2B Ozzie Albies 1B Jesús Aguilar OF Jesús Sánchez OF Jorge Soler 3B Brian Anderson C Gary Sánchez,,Tres Barrera,C,0.21%,0
146,3186559505,wicked_mumbles,0,84.9,P Nick Martinez P Paul Blackburn OF Shohei Ohtani OF Kyle Schwarber OF Jesse Winker 2B Ozzie Albies 1B Jared Walsh C J.T. Realmuto 3B Anthony Rendon SS David Fletcher,,Alcides Escobar,SS,0.21%,0
147,3186371330,REDLEGGS,0,84.85,P Alex Wood P Michael Lorenzen 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Alejandro Kirk OF Josh Lowe,,Maikel Franco,3B,0.21%,33
147,3186430250,felder15,0,84.85,P Alex Wood P Michael Lorenzen 1B Matt Olson OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto OF Marcell Ozuna OF Josh Lowe SS Orlando Arcia,,,
147,3186863711,chaze881,0,84.85,P Alek Manoah P Huascar Ynoa 2B Brandon Lowe SS Wander Franco OF Adam Duvall 1B Ji-Man Choi OF Mike Yastrzemski 3B Gio Urshela C Austin Nola OF Billy McKinney,,,
150,3186825151,jukes22,0,84.55,P Alek Manoah P Dylan Bundy OF Shohei Ohtani SS Jazz Chisholm Jr. 3B Austin Riley 1B Jared Walsh OF Marcell Ozuna 2B Joey Wendle C James McCann OF Billy McKinney,,,
151,3186418061,natelub79,0,84.4,P Huascar Ynoa P Nick Martinez OF Byron Buxton OF Kyle Schwarber SS Carlos Correa 3B Austin Riley C J.T. Realmuto OF Marcell Ozuna 2B Luis Arraez 1B Billy McKinney,,,
152,3186700658,Nikhil1989,0,84,P Elieser Hernandez P Michael Lorenzen OF Byron Buxton 2B Brandon Lowe OF Kyle Schwarber SS Carlos Correa 1B Ji-Man Choi OF Max Kepler 3B Gio Urshela C Gary Sánchez,,,
153,3186606105,3rd_and_schlong,0,83.95,P Luis Patiño P Dylan Bundy OF Shohei Ohtani 2B Brandon Lowe SS Wander Franco OF George Springer 3B Austin Riley 1B Ji-Man Choi C Francisco Mejía OF Josh Lowe,,,
154,3186783056,michacarr11,0,83.9,P Alex Wood P Huascar Ynoa OF Byron Buxton SS Carlos Correa 1B Pete Alonso 3B Eduardo Escobar OF Marcell Ozuna 2B Luis Arraez C Joey Bart OF Julio Rodríguez,,,
154,3186867702,jmrutkowski,0,83.9,P Dylan Bundy P Paul Blackburn 1B Vladimir Guerrero Jr. OF Aaron Judge SS Bo Bichette OF George Springer 2B DJ LeMahieu OF Teoscar Hernández 3B Matt Chapman C Kyle Higashioka,,,
156,3186386374,jbfones,0,83.85,P Alex Wood P Michael Lorenzen OF Shohei Ohtani 2B Brandon Lowe 1B Jared Walsh 3B Anthony Rendon OF Jo Adell C Francisco Mejía OF Brett Phillips SS Tyler Wade,,,
156,3186801164,lalonskyy,0,83.85,P Alek Manoah P Huascar Ynoa 1B Brandon Belt SS Brandon Crawford OF Mike Yastrzemski 3B Luis Arraez 2B Tony Kemp OF Joc Pederson OF Darin Ruf C Gary Sánchez,,,
158,3186488551,jburner17,0,83.65,P Huascar Ynoa P Michael Lorenzen OF Byron Buxton SS Carlos Correa 2B Ozzie Albies 1B Jared Walsh OF Marcell Ozuna OF Max Kepler 3B Luis Arraez C Gary Sánchez,,,
158,3186885298,JakeN07,0,83.65,P Josh Rogers P Dylan Bundy OF Bryce Harper 1B Vladimir Guerrero Jr. OF Nick Castellanos SS Bo Bichette C J.T. Realmuto 3B Matt Chapman OF Lourdes Gurriel Jr. 2B Santiago Espinal,,,
160,3186499797,Ponta01,0,83.6,P Alex Wood P Dylan Bundy 1B Vladimir Guerrero Jr. OF George Springer OF Teoscar Hernández SS Francisco Lindor 2B Jean Segura 3B Matt Chapman OF Joc Pederson C Alejandro Kirk,,,
160,3186861826,s5clarey,0,83.6,P Huascar Ynoa P Jameson Taillon OF Jesse Winker 3B Manny Machado OF Mitch Haniger 1B Ty France 2B Jake Cronenworth OF Trent Grisham SS Elvis Andrus C Austin Nola,,,
162,3186807828,petelin,0,83.45,P Ranger Suárez P Dylan Bundy OF Shohei Ohtani OF Juan Soto OF Mike Trout 1B Jared Walsh SS Alcides Escobar 2B César Hernández C Gary Sánchez 3B Maikel Franco,,,
163,3186574966,Randyw07,0,83.4,P Huascar Ynoa P Nick Martinez OF Byron Buxton SS Wander Franco 1B Anthony Rizzo OF Teoscar Hernández 2B Jean Segura OF Mark Canha 3B Gio Urshela C Gary Sánchez,,,
163,3186687442,jjames1989,0,83.4,P Huascar Ynoa P Dylan Bundy OF Byron Buxton SS Carlos Correa 2B Jorge Polanco 1B Jared Walsh OF Teoscar Hernández OF Jorge Soler 3B Luis Arraez C Gary Sánchez,,,
165,3186549478,needlunchmoney,0,83.35,P Michael Lorenzen P Dylan Bundy OF Bryce Harper OF Kyle Schwarber 1B Pete Alonso SS Francisco Lindor C J.T. Realmuto 2B Jean Segura 3B J.D. Davis OF Matt Vierling,,,
165,3186899400,Jdietz15,0,83.35,P Michael Lorenzen P Nick Martinez OF Aaron Judge OF Juan Soto OF Giancarlo Stanton SS Carlos Correa 2B Jorge Polanco 1B Ji-Man Choi 3B Brian Anderson C Francisco Mejía,,,
167,3186329890,rbell112490,0,83.1,P Nick Martinez P Dylan Bundy OF Bryce Harper 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna,,,
167,3186836822,slushfundx,0,83.1,P Nick Martinez P Dylan Bundy OF Bryce Harper 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna,,,
169,3186777779,tweyerich,0,82.85,P Alex Wood P Michael Lorenzen OF Byron Buxton 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson 1B Miguel Sanó OF Marcell Ozuna OF Max Kepler C Gary Sánchez,,,
170,3186415608,Cocstrong,0,82.6,P Alex Wood P Dylan Bundy OF Juan Soto 1B Matt Olson 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Marcell Ozuna OF Lane Thomas C Keibert Ruiz,,,
171,3186377515,cheeseheads1340,0,82.45,P Ranger Suárez P Dylan Bundy 1B Vladimir Guerrero Jr. SS Bo Bichette OF George Springer OF Teoscar Hernández 3B Anthony Rendon C Alejandro Kirk OF Brandon Marsh 2B David Fletcher,,,
172,3186499501,prescio0912,0,82.4,P Huascar Ynoa P Dylan Bundy OF Bryce Harper OF Byron Buxton SS Carlos Correa 2B Jorge Polanco 1B Ji-Man Choi 3B Luis Arraez C Francisco Mejía OF Josh Lowe,,,
173,3186469183,vicegolf22,0,82.35,P Michael Lorenzen P Nick Martinez OF Shohei Ohtani OF Juan Soto 1B Matt Olson 2B Ozzie Albies 3B Anthony Rendon SS Dansby Swanson OF Adam Duvall C Manny Piña,,,
174,3186835156,playerpropsavant,0,82.2,P Luis Patiño P Michael Lorenzen OF Shohei Ohtani SS Wander Franco 2B Ozzie Albies 1B Jared Walsh OF Adam Duvall OF Marcell Ozuna C Francisco Mejía 3B Gio Urshela,,,
175,3186705483,TwinkieOnIce,0,82.1,P Nick Martinez P Dylan Bundy OF Bryce Harper OF Nick Castellanos 2B Brandon Lowe SS Wander Franco OF Kyle Schwarber 1B Ji-Man Choi C Francisco Mejía 3B Gio Urshela,,,
175,3186830471,cpwathen,0,82.1,P Nick Martinez P Dylan Bundy OF Bryce Harper 1B Rhys Hoskins SS Jazz Chisholm Jr. 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto OF Adam Duvall OF Marcell Ozuna,,,
